emp no,Full Name,Net Hourly Rate,Gorss Monthly Rate,Percent Salary Hike
STAFF-1,Douglas Russell,94,19479,11
STAFF-2,Suzanne Morton,61,24907,23
STAFF-3,Stephanie Blake,92,2396,15
STAFF-4,Melissa Stevenson,56,23159,11
STAFF-5,Mikayla White,40,16632,12
STAFF-6,Donna Peterson,79,11864,13
STAFF-7,Maria Bishop,81,9964,20
STAFF-8,Andre Flores,67,13335,22
STAFF-9,Matthew Meyers,44,8787,21
STAFF-10,Seth Mcneil,94,16577,13
STAFF-11,Phyllis Miller,84,16479,13
STAFF-12,Jennifer Clayton,49,12682,12
STAFF-13,James Mitchell,31,15170,17
STAFF-14,Anita Pierce,93,8758,11
STAFF-15,Eric Carter,50,12947,14
STAFF-16,Jon Robertson,51,10195,11
STAFF-17,Anthony Gonzalez,80,15053,12
STAFF-18,Sydney Church DVM,96,7324,13
STAFF-19,Michael Ford,78,22021,16
STAFF-20,Jessica Thomas,45,4306,11
STAFF-21,Dustin Lucero,96,8232,18
STAFF-22,Brian Mann,82,6986,23
STAFF-23,Brian Rivera,53,21293,11
STAFF-24,Lisa Reyes,96,19281,14
STAFF-25,Kathryn Roberts,83,17102,11
STAFF-26,Vanessa Mason,58,10735,11
STAFF-27,Timothy Martinez,72,4681,22
STAFF-28,Philip Johnson,48,21173,11
STAFF-29,Daniel Warren,42,2094,14
STAFF-30,Christopher Rodriguez,83,22822,12
STAFF-31,Joseph Jackson,78,6670,11
STAFF-32,Annette Lowe,41,19121,13
STAFF-33,Christopher Allison,83,16117,13
STAFF-34,Brian Gonzalez,56,3335,14
STAFF-35,Robert King,61,3020,16
STAFF-36,Stephanie White,72,21923,12
STAFF-37,Angela Savage,86,3810,14
STAFF-38,Kenneth Duran,97,9687,13
STAFF-39,Benjamin Berry,82,13072,14
STAFF-40,Randy Figueroa,42,3193,19
STAFF-41,Christine Powell,75,10910,12
STAFF-42,Allison Moore,33,19715,13
STAFF-43,Jacqueline Porter,48,10558,12
STAFF-44,Jason Harvey,37,2975,15
STAFF-45,Donald Melton,58,10781,23
STAFF-46,Tiffany Miller,49,16280,12
STAFF-47,Tina Adkins,72,10034,20
STAFF-48,Nathan Brown,73,10227,21
STAFF-49,Theresa Griffin,98,20445,21
STAFF-50,Michael Simpson,36,4892,19
STAFF-51,Michelle Robertson,98,19294,13
STAFF-52,Mia Booth,50,11179,13
STAFF-53,Emily Larson,75,4009,21
STAFF-54,Michael Yoder,79,8302,13
STAFF-55,John Rodriguez,47,21436,19
STAFF-56,Benjamin Smith,98,15146,12
STAFF-57,Amy Gonzalez,71,11031,22
STAFF-58,Brad Griffin,30,16002,15
STAFF-59,Wanda Mccall,48,9528,22
STAFF-60,Janice Roberts,51,2689,18
STAFF-61,Barbara Medina,33,10877,22
STAFF-62,Logan Avila,50,5456,11
STAFF-63,Lucas Robinson,43,16701,12
STAFF-64,Rachel Walton,99,2354,11
STAFF-65,Gina Griffin,59,8202,13
STAFF-66,Christina Hughes,33,19730,14
STAFF-67,Cameron Peterson,95,22656,13
STAFF-68,David Williamson,59,18787,17
STAFF-69,Linda Mason,79,5868,13
STAFF-70,Amanda Powell,79,21777,17
STAFF-71,Julie Perry,57,24668,11
STAFF-72,Jeffrey White,76,4956,23
STAFF-73,Shannon Hood,87,18775,17
STAFF-74,Jennifer White,66,7346,17
STAFF-75,Mr. Johnny Ashley,55,22002,12
STAFF-76,Deborah Jones,61,20682,23
STAFF-77,Ann Sloan,32,23016,14
STAFF-78,Amy Williams,52,15067,14
STAFF-79,Dawn Barry,30,25258,13
STAFF-80,Emily Good,80,10425,22
STAFF-81,Jose Smith,55,15998,12
STAFF-82,Christy Morrison,30,26278,18
STAFF-83,David Hammond,70,18092,14
STAFF-84,John Brown,79,15717,12
STAFF-85,Lori Skinner,94,17736,15
STAFF-86,Michael Blanchard,49,21698,11
STAFF-87,Lindsay Henderson,62,9518,13
STAFF-88,Joseph Combs,96,18725,23
STAFF-89,James Pruitt,99,15830,19
STAFF-90,William Fuller,64,13596,16
STAFF-91,Christopher Holland,78,14115,22
STAFF-92,Rebecca Malone,71,8423,22
STAFF-93,Catherine Jones,63,19760,12
STAFF-94,Dr. Elizabeth Reynolds,40,3142,13
STAFF-95,Zachary Morgan,87,24301,16
STAFF-96,Denise Cox DVM,60,24001,12
STAFF-97,Gene Ballard,33,17519,21
STAFF-98,Tyler Hernandez,43,8863,15
STAFF-99,Melissa Williams,37,24409,13
STAFF-100,Austin Contreras,67,25043,12
STAFF-101,Samuel Parker,63,23648,22
STAFF-102,Timothy Miller,71,15178,13
STAFF-103,Christine Phelps,66,19783,18
STAFF-104,Miguel Lamb,41,12482,14
STAFF-105,Chase Herrera,100,15850,14
STAFF-106,Brad Wood,32,21922,21
STAFF-107,Danielle Saunders DDS,73,9755,19
STAFF-108,Jonathan Jenkins,46,26959,11
STAFF-109,Joshua Ward,64,26897,11
STAFF-110,Christopher Dixon,59,23785,15
STAFF-111,Carol Ross,30,25796,20
STAFF-112,Madeline Miller,66,22887,24
STAFF-113,Natasha Zimmerman,30,13871,12
STAFF-114,Donna Richardson,52,13257,12
STAFF-115,Thomas Gutierrez,45,15000,15
STAFF-116,April Morris,87,14506,12
STAFF-117,Gregory Jackson,45,5615,12
STAFF-118,Mark Rice,92,22952,14
STAFF-119,Randall Knox,39,2561,22
STAFF-120,Michael Wilkins,92,19494,12
STAFF-121,James Odonnell,96,22310,25
STAFF-122,Barry Burns,95,15480,13
STAFF-123,Joshua Kelley,72,4510,18
STAFF-124,David Lee,51,6462,13
STAFF-125,Brian Callahan,76,20739,18
STAFF-126,Amy Hicks,46,23300,19
STAFF-127,Patrick Cannon,94,3465,12
STAFF-128,Robert Hoover,50,26820,19
STAFF-129,Ryan Ball,100,19299,14
STAFF-130,Daniel Bass,96,5549,14
STAFF-131,Monica Bush,72,16090,12
STAFF-132,Roger Thompson,77,6645,11
STAFF-133,Ryan Lucas,71,24788,11
STAFF-134,Stephanie Mendez,96,21196,13
STAFF-135,Mark Jackson,61,8916,23
STAFF-136,Bradley House,84,2819,20
