department,education,fullName,gender,eligibleOverTime,active,martialStatus,jobRole,attritionDescription,businessTravel,stockOptionLevel,birthdate,distancefromhome,environmentSatisfaction,GrossMonthlyRate,jobInvolvement,jobLevel,jobSatisfaction,netHourlyRate,numPreviousCompanies,percentSalaryHike,performanceRating,relationshipSatisfaction,totalWorkingYears,trainingTimesLY,worklifeBalance,yearsAtCompany,yearsCurrentRole,yearsSinceLastPromotion,yearsCurrManager,Date Recrutement,Date Exit
HR,Associates Degree,Alexander Ryan,Female,0,1,Single,Human Resources,Poor workplace culture,Travel_Rarely,None,19770814,1,4,22957,3,1,1,44,6,12,3,3,10,3,4,7,6,5,7,3/30/2016 0:00,
HR,Associates Degree,Brian Blevins,Male,0,1,Married,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,None,19650112,6,2,25657,3,1,3,52,8,17,3,4,7,2,2,2,2,2,2,3/29/2021 0:00,
HR,Associates Degree,Christopher Henderson,Male,0,0,Single,Human Resources,Poor work-life balance,Travel_Rarely,None,20040503,2,1,18437,2,1,4,52,1,12,3,3,1,3,4,1,0,0,0,,
HR,Associates Degree,Christopher James,Female,1,0,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19970617,20,4,6889,3,1,2,69,0,11,3,3,6,3,3,5,1,1,4,4/18/2013 0:00,4/17/2018 0:00
HR,Associates Degree,Court Easbie,Male,1,1,Divorced,Human Resources,Poor workplace culture,Travel_Rarely,Low,19771001,5,2,10425,3,2,2,80,8,22,4,4,16,2,3,4,2,0,2,3/30/2019 0:00,
HR,Associates Degree,Daniel Lopez,Male,1,1,Divorced,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,Low,19770327,5,2,10425,3,2,2,80,8,22,4,4,16,2,3,4,2,0,2,3/30/2019 0:00,
HR,Associates Degree,Donald Mercer,Male,0,1,Divorced,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,None,19860104,8,3,12832,3,2,2,89,2,13,3,3,19,4,2,10,0,4,7,3/31/2013 0:00,
HR,Associates Degree,Eric Costa,Male,1,1,Single,Manager,Poor workplace culture,Travel_Rarely,None,19840106,6,3,17381,3,4,4,38,1,21,4,4,21,2,3,21,7,7,7,4/3/2002 0:00,
HR,Associates Degree,Fiona Forsey,Male,0,1,Married,Human Resources,Poor work-life balance,Travel_Rarely,Low,19890502,3,3,2243,3,1,4,88,0,19,3,3,4,1,1,3,2,0,2,3/29/2020 0:00,
HR,Associates Degree,Gregory Washington,Male,0,1,Divorced,Human Resources,Lack of employee motivation,Travel_Rarely,Low,19950912,8,2,23965,2,1,4,63,1,13,3,4,6,6,3,5,1,0,4,3/30/2018 0:00,
HR,Associates Degree,James Wyatt,Male,0,1,Divorced,Human Resources,Poor workplace culture,Travel_Rarely,None,19860718,8,3,12832,3,2,2,89,2,13,3,3,19,4,2,10,0,4,7,3/31/2013 0:00,
HR,Associates Degree,Jose Hughes,Male,0,1,Divorced,Human Resources,Not enough career opportunities ,Non-Travel,Low,19950406,1,3,10494,3,1,4,43,1,15,3,2,3,2,3,3,2,2,2,3/29/2020 0:00,
HR,Associates Degree,Kikelia Daish,Male,0,1,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19640308,6,2,25657,3,1,3,52,8,17,3,4,7,2,2,2,2,2,2,3/29/2021 0:00,
HR,Associates Degree,Larry Clark,Male,0,1,Divorced,Human Resources,Not enough career opportunities ,Non-Travel,Low,19950529,1,3,10494,3,1,4,43,1,15,3,2,3,2,3,3,2,2,2,3/29/2020 0:00,
HR,Associates Degree,Leslie Bennett,Male,0,1,Married,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,Low,19890511,3,3,2243,3,1,4,88,0,19,3,3,4,1,1,3,2,0,2,3/29/2020 0:00,
HR,Associates Degree,Lisa Gonzalez,Female,1,0,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19970305,20,4,6889,3,1,2,69,0,11,3,3,6,3,3,5,1,1,4,8/15/2010 0:00,8/14/2015 0:00
HR,Associates Degree,Marci Vinden,Male,0,0,Single,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,None,20041229,2,1,18437,2,1,4,52,1,12,3,3,1,3,4,1,0,0,0,6/13/2014 0:00,6/13/2015 0:00
HR,Associates Degree,Melisenda Whitnall,Male,1,1,Divorced,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,Low,19901001,3,4,22650,3,1,2,57,3,11,3,3,7,4,4,4,3,0,3,3/30/2019 0:00,
HR,Associates Degree,Moyna Lummus,Male,0,0,Married,Human Resources,Lack of employee motivation,Travel_Rarely,Low,19790123,1,2,2326,2,3,1,91,9,14,3,4,24,1,3,20,6,3,6,,
HR,Associates Degree,Mrs. Crystal Maldonado,Male,0,0,Married,Human Resources,Not enough career opportunities ,Travel_Rarely,Low,19790601,1,2,2326,2,3,1,91,9,14,3,4,24,1,3,20,6,3,6,8/11/2013 0:00,
HR,Associates Degree,Robert Thompson,Male,1,1,Single,Manager,Poor workplace culture,Travel_Rarely,None,19830606,6,3,17381,3,4,4,38,1,21,4,4,21,2,3,21,7,7,7,4/3/2002 0:00,
HR,Associates Degree,Robyn May,Male,1,1,Divorced,Human Resources,Lack of employee motivation,Travel_Rarely,Low,19900201,3,4,22650,3,1,2,57,3,11,3,3,7,4,4,4,3,0,3,3/30/2019 0:00,
HR,Associates Degree,Ruben Mullins,Female,0,1,Single,Human Resources,Not enough career opportunities ,Travel_Rarely,None,19930117,8,4,24609,4,1,2,96,9,18,3,4,8,3,3,3,2,0,2,3/29/2020 0:00,
HR,Associates Degree,Samuel Hamilton,Female,0,1,Single,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19930101,8,4,24609,4,1,2,96,9,18,3,4,8,3,3,3,2,0,2,3/29/2020 0:00,
HR,Associates Degree,Starlene Kelwick,Male,0,1,Divorced,Human Resources,Not enough career opportunities ,Travel_Rarely,Low,19950113,8,2,23965,2,1,4,63,1,13,3,4,6,6,3,5,1,0,4,3/30/2018 0:00,
HR,Associates Degree,Tarrah Keohane,Female,0,1,Single,Human Resources,Poor work-life balance,Travel_Rarely,None,19770218,1,4,22957,3,1,1,44,6,12,3,3,10,3,4,7,6,5,7,3/30/2016 0:00,
HR,Bachelor's Degree,Adam Swanson,Female,0,1,Married,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,None,19981110,2,3,19655,3,1,2,82,4,14,3,3,6,3,3,2,0,1,2,3/29/2021 0:00,
HR,Bachelor's Degree,Anna Dickson,Male,0,1,Single,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19800823,2,2,5033,3,1,4,97,0,13,3,2,10,5,3,9,7,1,8,3/31/2014 0:00,
HR,Bachelor's Degree,Candice Woods,Female,0,1,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,Medium,19781202,4,3,6595,1,3,3,56,4,21,4,3,9,2,4,5,0,0,3,3/30/2018 0:00,
HR,Bachelor's Degree,Charles Brown,Male,0,1,Married,Human Resources,Poor workplace culture,Non-Travel,Low,19821209,4,3,20794,1,2,2,60,6,19,3,2,10,4,3,3,2,1,2,3/29/2020 0:00,
HR,Bachelor's Degree,Christopher Rogers,Male,0,1,Single,Human Resources,Poor workplace culture,Travel_Rarely,None,19940820,17,2,9769,2,3,1,51,1,13,3,1,10,3,2,10,9,0,9,3/31/2013 0:00,
HR,Bachelor's Degree,Craig Price,Male,0,1,Single,Human Resources,Poor work-life balance,Travel_Rarely,None,19940201,17,2,9769,2,3,1,51,1,13,3,1,10,3,2,10,9,0,9,3/31/2013 0:00,
HR,Bachelor's Degree,Daniel Kelly,Female,0,0,Divorced,Human Resources,Not enough career opportunities ,Travel_Frequently,Low,19931016,8,3,9732,2,1,4,66,6,11,3,3,6,0,2,4,2,1,2,7/29/2012 0:00,7/28/2016 0:00
HR,Bachelor's Degree,Danielle Clark,Female,0,1,Married,Human Resources,Lack of employee motivation,Travel_Rarely,Medium,19780102,4,3,6595,1,3,3,56,4,21,4,3,9,2,4,5,0,0,3,3/30/2018 0:00,
HR,Bachelor's Degree,Denise Wall,Female,0,0,Divorced,Human Resources,Poor job satisfaction and pay,Travel_Frequently,Low,19930615,8,3,9732,2,1,4,66,6,11,3,3,6,0,2,4,2,1,2,9/2/2011 0:00,9/1/2015 0:00
HR,Bachelor's Degree,Domingo McMurdo,Female,0,1,Married,Human Resources,Lack of employee motivation,Travel_Rarely,Medium,19850120,2,4,7790,2,2,4,42,8,11,3,3,13,2,3,5,4,0,4,3/30/2018 0:00,
HR,Bachelor's Degree,Douglas Diaz,Male,0,1,Married,Human Resources,Not enough career opportunities ,Travel_Rarely,Low,19870410,13,3,25527,3,1,2,36,4,13,3,2,8,2,3,5,2,0,4,3/30/2018 0:00,
HR,Bachelor's Degree,Dru Ricardot,Male,0,1,Married,Human Resources,Lack of employee motivation,Travel_Rarely,Low,19870326,13,3,25527,3,1,2,36,4,13,3,2,8,2,3,5,2,0,4,3/30/2018 0:00,
HR,Bachelor's Degree,Eric Wilkins,Female,1,1,Single,Manager,Poor workplace culture,Non-Travel,None,19690816,26,4,13871,4,4,4,30,2,12,3,3,23,3,3,5,3,4,4,3/30/2018 0:00,
HR,Bachelor's Degree,Evie Alliot,Female,0,1,Married,Manager,Poor work-life balance,Travel_Rarely,Low,19810101,10,3,16616,3,4,1,31,0,14,3,3,21,5,3,20,7,0,9,4/3/2003 0:00,
HR,Bachelor's Degree,Florontino Ray,Male,0,1,Married,Human Resources,Poor work-life balance,Travel_Rarely,None,19870707,8,1,8635,2,1,1,77,0,21,4,3,6,3,3,5,4,0,3,3/30/2018 0:00,
HR,Bachelor's Degree,Gaspard Coward,Male,0,1,Married,Human Resources,Poor work-life balance,Travel_Rarely,Low,19901106,2,2,8429,3,1,3,99,1,13,3,4,5,2,3,5,4,1,4,3/30/2018 0:00,
HR,Bachelor's Degree,Hamnet Dorsey,Male,0,1,Married,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,Low,19850901,1,3,6004,4,1,3,37,1,13,3,4,7,2,4,7,6,5,0,3/30/2016 0:00,
HR,Bachelor's Degree,Hewie Bimrose,Male,0,1,Married,Human Resources,Lack of employee motivation,Travel_Rarely,None,19870427,8,1,8635,2,1,1,77,0,21,4,3,6,3,3,5,4,0,3,3/30/2018 0:00,
HR,Bachelor's Degree,James Booker,Male,0,1,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,Low,19901127,2,2,8429,3,1,3,99,1,13,3,4,5,2,3,5,4,1,4,3/30/2018 0:00,
HR,Bachelor's Degree,Jeffery Vargas,Male,1,1,Divorced,Manager,Poor job satisfaction and pay,Travel_Rarely,Low,19720116,5,3,17588,3,4,2,84,1,11,3,2,33,2,3,33,9,0,10,,
HR,Bachelor's Degree,Jennifer Fox,Female,0,1,Married,Manager,Not enough career opportunities ,Travel_Rarely,Low,19811109,10,3,16616,3,4,1,31,0,14,3,3,21,5,3,20,7,0,9,4/3/2003 0:00,
HR,Bachelor's Degree,Jessica Lane,Male,0,1,Married,Human Resources,Poor workplace culture,Travel_Frequently,Low,19991031,10,1,2097,3,1,4,59,0,14,3,4,3,2,3,2,2,2,1,3/29/2021 0:00,
HR,Bachelor's Degree,John Cameron,Male,0,1,Married,Manager,Not fitting in and feeling a sense of belonging,Travel_Frequently,Low,19730824,3,1,7999,3,5,2,99,1,11,3,3,32,2,3,32,5,10,7,,
HR,Bachelor's Degree,John Hanna,Female,0,1,Married,Human Resources,Poor work-life balance,Travel_Rarely,Low,19840411,3,3,18767,4,2,2,44,9,15,3,3,12,3,1,8,3,3,6,3/31/2015 0:00,
HR,Bachelor's Degree,John White,Female,1,1,Divorced,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,High,19790912,1,3,4167,3,1,4,44,4,18,3,1,8,2,3,2,2,2,2,3/29/2021 0:00,
HR,Bachelor's Degree,Karen Hunter,Male,0,1,Married,Human Resources,Poor work-life balance,Travel_Frequently,Low,19990428,10,1,2097,3,1,4,59,0,14,3,4,3,2,3,2,2,2,1,3/29/2021 0:00,
HR,Bachelor's Degree,Katharyn Persicke,Female,1,1,Single,Manager,Poor job satisfaction and pay,Non-Travel,None,19690829,26,4,13871,4,4,4,30,2,12,3,3,23,3,3,5,3,4,4,3/30/2018 0:00,
